date,stocks,bonds,gold,futures
2001-06-08,-0.0063,-0.0017,0.0270,0.0028
2001-06-11,-0.0109,0.0033,-0.0201,0.0040
2001-06-12,-0.0062,0.0026,0.0139,-0.0057
2001-06-13,-0.0024,0.0001,0.0019,-0.0015
2001-06-14,-0.0103,0.0022,0.0122,-0.0144
2001-06-15,-0.0060,-0.0010,-0.0147,0.0011
2001-06-18,-0.0067,0.0004,0.0043,-0.0016
2001-06-19,0.0012,0.0007,0.0038,0.0079
2001-06-20,0.0024,0.0016,-0.0036,-0.0026
2001-06-21,0.0081,0.0013,0.0009,-0.0015
2001-06-22,-0.0028,0.0042,-0.0010,-0.0035
2001-06-25,-0.0021,-0.0005,0.0054,0.0004
2001-06-26,-0.0058,-0.0041,0.0085,-0.0011
2001-06-27,-0.0038,-0.0007,-0.0151,0.0062
2001-06-28,0.0058,-0.0046,-0.0101,0.0131
2001-06-29,0.0036,-0.0034,0.0049,-0.0060
2001-07-02,0.0098,0.0037,-0.0041,-0.0043
2001-07-03,-0.0043,-0.0023,-0.0066,-0.0044
2001-07-05,-0.0172,-0.0016,-0.0091,0.0150
2001-07-06,-0.0195,0.0026,0.0031,-0.0145
2001-07-09,0.0051,0.0023,0.0018,-0.0004
2001-07-10,-0.0059,0.0028,-0.0011,-0.0105
2001-07-11,-0.0039,-0.0006,0.0080,-0.0103
2001-07-12,0.0162,0.0027,-0.0062,0.0000
2001-07-13,0.0041,0.0002,0.0023,0.0088
2001-07-16,-0.0062,0.0032,-0.0008,0.0010
2001-07-17,0.0003,0.0003,0.0050,-0.0032
2001-07-18,-0.0017,0.0056,0.0082,-0.0064
2001-07-19,0.0078,-0.0009,-0.0032,-0.0030
2001-07-20,-0.0033,-0.0004,0.0019,-0.0126
2001-07-23,-0.0132,0.0014,-0.0037,0.0088
2001-07-24,-0.0098,0.0012,0.0034,0.0006
2001-07-25,0.0072,-0.0034,-0.0080,-0.0024
2001-07-26,0.0063,0.0006,-0.0055,-0.0014
2001-07-27,0.0052,0.0032,0.0045,-0.0007
2001-07-30,0.0016,0.0018,-0.0093,0.0052
2001-07-31,0.0090,0.0023,0.0061,0.0052
2001-08-01,0.0057,-0.0014,0.0042,-0.0036
2001-08-02,0.0068,-0.0033,0.0001,-0.0206
2001-08-03,-0.0056,-0.0007,0.0019,0.0086
2001-08-06,-0.0081,0.0005,-0.0030,0.0026
2001-08-07,0.0023,-0.0002,0.0001,-0.0041
2001-08-08,-0.0138,0.0058,0.0031,0.0116
2001-08-09,-0.0049,-0.0012,0.0205,0.0063
2001-08-10,0.0035,0.0019,0.0023,0.0038
2001-08-13,0.0009,0.0015,0.0068,0.0093
2001-08-14,0.0043,-0.0005,0.0019,-0.0146
2001-08-15,0.0001,-0.0011,-0.0024,-0.0007
2001-08-16,-0.0031,0.0025,-0.0017,0.0090
2001-08-17,-0.0135,0.0044,0.0149,0.0227
2001-08-20,0.0012,-0.0024,-0.0118,-0.0123
2001-08-21,-0.0022,0.0010,-0.0042,-0.0077
2001-08-22,0.0066,-0.0002,-0.0002,-0.0052
2001-08-23,-0.0049,0.0020,0.0015,0.0011
2001-08-24,0.0153,-0.0020,-0.0100,-0.0167
2001-08-27,-0.0024,-0.0006,0.0002,-0.0052
2001-08-28,-0.0128,0.0044,-0.0017,0.0223
2001-08-29,-0.0082,0.0033,0.0052,0.0100
2001-08-30,-0.0179,0.0001,0.0062,0.0253
2001-08-31,0.0021,-0.0004,-0.0035,-0.0120
2001-09-04,-0.0041,-0.0085,-0.0098,-0.0731
2001-09-05,-0.0075,0.0009,0.0016,0.0034
2001-09-06,-0.0191,0.0058,0.0033,0.0281
2001-09-07,-0.0144,0.0037,0.0005,0.0303
2001-09-10,-0.0034,-0.0015,-0.0048,-0.0065
2001-09-17,-0.0485,0.0110,-0.0024,0.0030
2001-09-18,-0.0043,-0.0057,-0.0061,-0.0119
2001-09-19,-0.0102,0.0021,0.0090,0.0005
2001-09-20,-0.0310,-0.0036,-0.0085,0.0004
2001-09-21,-0.0260,0.0021,0.0108,-0.0002
2001-09-24,0.0375,-0.0001,-0.0066,-0.0225
2001-09-25,0.0122,0.0013,0.0031,0.0094
2001-09-26,-0.0004,0.0044,0.0103,0.0051
2001-09-27,0.0088,0.0039,-0.0054,-0.0046
2001-09-28,0.0215,0.0000,0.0028,-0.0107
2001-10-01,-0.0044,0.0023,-0.0025,0.0067
2001-10-02,0.0112,0.0024,-0.0078,0.0105
2001-10-03,0.0111,0.0010,0.0024,0.0045
2001-10-04,0.0093,0.0003,0.0001,-0.0054
2001-10-05,0.0013,0.0003,0.0031,0.0086
2001-10-08,-0.0045,0.0000,0.0033,0.0018
2001-10-09,-0.0067,-0.0033,-0.0126,-0.0180
2001-10-10,0.0164,0.0008,-0.0103,-0.0098
2001-10-11,0.0123,-0.0042,-0.0142,-0.0307
2001-10-12,-0.0010,0.0002,0.0110,0.0131
2001-10-15,-0.0074,0.0037,-0.0103,0.0107
2001-10-16,0.0076,0.0018,0.0008,0.0038
2001-10-17,-0.0030,0.0008,0.0039,-0.0040
2001-10-18,-0.0125,0.0007,-0.0147,0.0144
2001-10-19,-0.0041,-0.0025,0.0032,-0.0089
2001-10-22,0.0109,0.0007,-0.0162,-0.0024
2001-10-23,0.0054,-0.0009,0.0015,-0.0071
2001-10-24,0.0020,0.0041,-0.0007,0.0165
2001-10-25,0.0033,0.0030,0.0069,0.0180
2001-10-26,0.0068,0.0006,0.0004,-0.0010
2001-10-29,-0.0177,0.0028,0.0052,0.0158
2001-10-30,-0.0166,0.0029,0.0054,0.0194
2001-10-31,0.0001,0.0099,-0.0025,0.0150
2001-11-01,0.0171,0.0020,0.0008,0.0119
2001-11-02,0.0015,-0.0071,0.0004,-0.0111
2001-11-05,0.0129,0.0045,-0.0044,0.0060
2001-11-06,0.0102,0.0016,0.0025,0.0006
2001-11-07,-0.0010,0.0054,0.0040,0.0180
2001-11-08,0.0070,-0.0051,-0.0149,-0.0228
2001-11-09,-0.0024,-0.0011,0.0024,-0.0114
2001-11-12,-0.0086,0.0000,0.0036,0.0025
2001-11-13,0.0140,-0.0031,-0.0021,-0.0272
2001-11-14,0.0028,-0.0072,0.0001,-0.0234
2001-11-15,0.0031,-0.0125,-0.0093,-0.0331
2001-11-16,0.0020,-0.0076,-0.0014,-0.0269
